2025-12-24T13:19:09.347581518-05:00 - INFO - sending request to server.
2025-12-24T13:19:09.855752848-05:00 - INFO - Received position message for id 0: (166.40117, 41.40113) with velocity vector (5, 5)
2025-12-24T13:19:09.871839237-05:00 - INFO - Received position message for id 0: (166.4815, 41.48147) with velocity vector (5, 5)
2025-12-24T13:19:09.887769882-05:00 - INFO - Received position message for id 0: (166.56119, 41.56115) with velocity vector (5, 5)
2025-12-24T13:19:09.903756685-05:00 - INFO - Received position message for id 0: (166.64117, 41.641136) with velocity vector (5, 5)
2025-12-24T13:19:09.919773405-05:00 - INFO - Received position message for id 0: (166.72119, 41.721153) with velocity vector (5, 5)
2025-12-24T13:19:09.935769046-05:00 - INFO - Received position message for id 0: (166.80118, 41.80114) with velocity vector (5, 5)
2025-12-24T13:19:09.951764056-05:00 - INFO - Received position message for id 0: (166.88116, 41.88113) with velocity vector (5, 5)
2025-12-24T13:19:09.967812181-05:00 - INFO - Received position message for id 0: (166.96124, 41.9612) with velocity vector (5, 5)
2025-12-24T13:19:09.983754709-05:00 - INFO - Received position message for id 0: (167.04118, 42.041138) with velocity vector (5, 5)
2025-12-24T13:19:09.999850584-05:00 - INFO - Received position message for id 0: (167.1214, 42.121353) with velocity vector (5, 5)
2025-12-24T13:19:10.015766772-05:00 - INFO - Received position message for id 0: (167.20122, 42.201176) with velocity vector (5, 5)
2025-12-24T13:19:10.031750114-05:00 - INFO - Received position message for id 0: (167.28117, 42.281128) with velocity vector (5, 5)
2025-12-24T13:19:10.047750066-05:00 - INFO - Received position message for id 0: (167.36118, 42.36113) with velocity vector (5, 5)
2025-12-24T13:19:10.063735976-05:00 - INFO - Received position message for id 0: (167.44104, 42.440994) with velocity vector (5, 5)
2025-12-24T13:19:10.079772405-05:00 - INFO - Received position message for id 0: (167.5212, 42.521156) with velocity vector (5, 5)
2025-12-24T13:19:10.095752570-05:00 - INFO - Received position message for id 0: (167.60117, 42.60113) with velocity vector (5, 5)
2025-12-24T13:19:10.111774966-05:00 - INFO - Received position message for id 0: (167.68124, 42.681206) with velocity vector (5, 5)
2025-12-24T13:19:10.127787735-05:00 - INFO - Received position message for id 0: (167.76125, 42.761204) with velocity vector (5, 5)
2025-12-24T13:19:10.143765872-05:00 - INFO - Received position message for id 0: (167.84119, 42.841145) with velocity vector (5, 5)
2025-12-24T13:19:10.159779108-05:00 - INFO - Received position message for id 0: (167.92119, 42.921146) with velocity vector (5, 5)
2025-12-24T13:19:10.175749637-05:00 - INFO - Received position message for id 0: (168.00114, 43.001106) with velocity vector (5, 5)
2025-12-24T13:19:10.191801249-05:00 - INFO - Received position message for id 0: (168.08112, 43.081074) with velocity vector (5, 5)
2025-12-24T13:19:10.207769714-05:00 - INFO - Received position message for id 0: (168.16118, 43.161133) with velocity vector (5, 5)
2025-12-24T13:19:10.223761936-05:00 - INFO - Received position message for id 0: (168.24118, 43.24114) with velocity vector (5, 5)
2025-12-24T13:19:10.239815892-05:00 - INFO - Received position message for id 0: (168.32133, 43.32129) with velocity vector (5, 5)
2025-12-24T13:19:10.255762323-05:00 - INFO - Received position message for id 0: (168.40121, 43.401173) with velocity vector (5, 5)
2025-12-24T13:19:10.271740154-05:00 - INFO - Received position message for id 0: (168.48108, 43.481045) with velocity vector (5, 5)
2025-12-24T13:19:10.287757202-05:00 - INFO - Received position message for id 0: (168.56117, 43.56114) with velocity vector (5, 5)
2025-12-24T13:19:10.303753929-05:00 - INFO - Received position message for id 0: (168.64117, 43.64114) with velocity vector (5, 5)
2025-12-24T13:19:10.319760647-05:00 - INFO - Received position message for id 0: (168.72119, 43.721157) with velocity vector (5, 5)
2025-12-24T13:19:10.335770871-05:00 - INFO - Received position message for id 0: (168.8012, 43.80116) with velocity vector (5, 5)
2025-12-24T13:19:10.351755126-05:00 - INFO - Received position message for id 0: (168.88118, 43.88114) with velocity vector (5, 5)
2025-12-24T13:19:10.367731945-05:00 - INFO - Received position message for id 0: (168.96103, 43.96099) with velocity vector (5, 5)
2025-12-24T13:19:10.383761433-05:00 - INFO - Received position message for id 0: (169.04117, 44.041126) with velocity vector (5, 5)
2025-12-24T13:19:10.399774642-05:00 - INFO - Received position message for id 0: (169.12119, 44.12115) with velocity vector (5, 5)
2025-12-24T13:19:10.415737046-05:00 - INFO - Received position message for id 0: (169.20105, 44.20101) with velocity vector (5, 5)
2025-12-24T13:19:10.431756085-05:00 - INFO - Received position message for id 0: (169.28117, 44.28114) with velocity vector (5, 5)
2025-12-24T13:19:10.447769986-05:00 - INFO - Received position message for id 0: (169.3611, 44.36106) with velocity vector (5, 5)
2025-12-24T13:19:10.463761666-05:00 - INFO - Received position message for id 0: (169.44116, 44.441124) with velocity vector (5, 5)
